,mois,moy_nbarticle,moy_carac_titre,moy_carac_texte,moy_mot_titre,moy_mot_texte,som_nbarticle,som_carac_titre,som_carac_texte,som_mot_titre,som_mot_texte
0,janvier,46.2,39.2,2554.0,6.6,435.0,647,548.8,35756.0,92.3,6095.0
1,février,33.8,39.2,2287.0,6.6,389.0,440,509.9,29733.0,85.5,5051.0
2,mars,44.4,40.9,2570.0,6.8,435.0,577,531.3,33408.0,88.0,5655.0
3,avril,49.3,41.2,2548.0,6.9,437.0,641,535.5,33119.0,90.3,5677.0
4,mai,45.3,40.8,2544.0,6.8,435.0,589,529.8,33067.0,88.8,5652.0
5,juin,25.6,42.7,2350.0,7.2,400.0,333,555.4,30554.0,93.8,5198.0
6,juillet,16.1,39.0,1763.0,6.4,297.0,209,507.4,22921.0,83.3,3855.0
7,août,31.7,37.9,2134.0,6.2,361.0,444,530.5,29873.0,86.7,5054.0
8,septembre,45.5,39.0,2411.0,6.4,411.0,637,545.8,33749.0,90.1,5756.0
9,octobre,50.9,39.7,2256.0,6.6,383.0,713,556.4,31582.0,91.8,5360.0
10,novembre,40.2,40.2,2322.0,6.7,394.0,563,563.0,32508.0,93.2,5513.0
11,décembre,44.1,39.1,2380.0,6.5,407.0,618,548.0,33323.0,91.6,5694.0
