,annee_mois,mois,saison,nb_article,moy_carac_titre,moy_carac_texte,moy_mot_titre,moy_mot_texte,nb_photo,moy_photo,nb_video
0,août 2008,août,2008-2009,0,0.0,0.0,0.0,0.0,0,0.0,0
9,septembre 2008,septembre,2008-2009,26,19.8,1424.0,3.31,238.9,0,0.0,0
10,octobre 2008,octobre,2008-2009,47,22.4,1740.0,3.7,294.9,0,0.0,0
11,novembre 2008,novembre,2008-2009,36,21.2,1824.0,3.22,312.4,0,0.0,0
12,décembre 2008,décembre,2008-2009,30,19.8,1572.0,3.23,267.4,0,0.0,0
13,janvier 2009,janvier,2008-2009,35,20.5,1978.0,3.4,334.1,0,0.0,0
14,février 2009,février,2008-2009,14,20.8,1469.0,3.07,244.4,0,0.0,0
15,mars 2009,mars,2008-2009,27,18.7,2019.0,2.85,336.5,0,0.0,0
16,avril 2009,avril,2008-2009,31,18.0,2181.0,3.03,371.2,0,0.0,0
17,mai 2009,mai,2008-2009,39,21.1,1801.0,3.44,302.6,0,0.0,0
18,juin 2009,juin,2008-2009,24,20.6,1524.0,3.38,261.4,0,0.0,0
19,juillet 2009,juillet,2008-2009,20,25.4,1404.0,3.8,230.1,0,0.0,0
20,août 2009,août,2009-2010,33,20.7,1982.0,3.21,334.0,0,0.0,0
21,septembre 2009,septembre,2009-2010,42,19.5,1955.0,3.24,331.6,0,0.0,0
22,octobre 2009,octobre,2009-2010,47,20.1,1683.0,3.28,282.6,0,0.0,0
23,novembre 2009,novembre,2009-2010,33,22.0,2038.0,3.7,338.5,0,0.0,0
24,décembre 2009,décembre,2009-2010,38,21.5,2026.0,3.29,343.2,0,0.0,0
25,janvier 2010,janvier,2009-2010,43,21.8,2159.0,3.6,364.5,0,0.0,0
26,février 2010,février,2009-2010,23,22.3,1483.0,3.65,251.1,0,0.0,0
27,mars 2010,mars,2009-2010,44,25.9,2040.0,4.16,340.9,0,0.0,0
28,avril 2010,avril,2009-2010,58,24.4,1875.0,4.02,319.1,0,0.0,0
29,mai 2010,mai,2009-2010,61,24.9,1856.0,4.2,312.4,0,0.0,0
30,juin 2010,juin,2009-2010,12,24.0,1140.0,4.25,190.8,0,0.0,0
31,juillet 2010,juillet,2009-2010,15,23.1,2712.0,3.73,463.6,0,0.0,0
32,août 2010,août,2010-2011,42,25.1,1717.0,4.33,287.9,0,0.0,0
33,septembre 2010,septembre,2010-2011,32,22.7,2070.0,3.78,351.1,0,0.0,0
34,octobre 2010,octobre,2010-2011,48,22.8,2001.0,3.9,339.1,0,0.0,0
35,novembre 2010,novembre,2010-2011,36,25.6,1783.0,4.0,298.8,0,0.0,0
36,décembre 2010,décembre,2010-2011,50,23.7,1559.0,3.98,262.4,0,0.0,0
37,janvier 2011,janvier,2010-2011,46,23.8,2285.0,4.09,384.7,0,0.0,0
